condition,prompt_version,mode,model,run_id,image,run_dir,predicted_region,reference_region,region_match,predicted_fracture,reference_fracture,fracture_match,positive_cues,negation_cues,impression_snippet,manual_audit_confirmed,manual_audit_notes
v1,v1,multi-agent-single-model,qwen3.6-27b,v1-multi-agent-single-model-qwen3.6-27b,ID001-xray.png,v1/multi-agent-single-model/qwen3.6-27b,lower_extremity,lower_extremity,True,False,,,,no acute fracture,"No acute fracture or dislocation identified on this single lateral view of the foot and ankle. Bony alignment appears maintained. The single-view limitation is significant — occult fractures (navicular, 5th metatarsal base, lateral malleolus), ligamentous injuries, and subtle joint incongruity canno",,
v1,v1,multi-agent-single-model,qwen3.6-27b,v1-multi-agent-single-model-qwen3.6-27b,ID002-xray.png,v1/multi-agent-single-model/qwen3.6-27b,upper_extremity,lower_extremity,False,False,,,,,"No radiographic evidence of acute fracture, dislocation, or other gross abnormality on this lateral elbow radiograph. Normal fat pad signs. Intact cortical margins throughout the visualized distal humerus, radial head, olecranon, and proximal forearm bones. This assessment is based on a single later",,
v1,v1,multi-agent-single-model,qwen3.6-27b,v1-multi-agent-single-model-qwen3.6-27b,ID003-xray.png,v1/multi-agent-single-model/qwen3.6-27b,upper_extremity,upper_extremity,True,False,True,False,,,Both-bone mid-diaphyseal forearm fracture (radius and ulna) in a skeletally immature pediatric patient. The fracture pattern is transverse to short-oblique with mild displacement and angulation. The injury is consistent with direct trauma to the mid-forearm. Association with congenital hand and fore,,
v1,v1,multi-agent-single-model,qwen3.8-27b,v1-multi-agent-single-model-qwen3.8-27b,ID001-xray.png,v1/multi-agent-single-model/qwen3.8-27b,lower_extremity,lower_extremity,True,False,,,,no fracture,"Lateral ankle/foot radiograph in a plantarflexed (equinus-type), rotated off-true-lateral position: congruent ankle and subtalar joints, no fracture or dislocation demonstrable above this image's detection limit, no soft-tissue swelling, and no calcaneal spur; Bohler's angle (~56 deg) is abnormally ",,
v1,v1,multi-agent-single-model,qwen3.8-27b,v1-multi-agent-single-model-qwen3.8-27b,ID002-xray.png,v1/multi-agent-single-model/qwen3.8-27b,upper_extremity,lower_extremity,False,False,,,,,"Suspected nondisplaced distal ulnar physeal (metaphyseal/styloid) fracture with a small fragment, on a single truncated oblique view - the principal alternative (normal variant of distal ulnar ossification) cannot be excluded in-image. The olecranon lucent line is a normal apophyseal physis (not an ",,
v1,v1,multi-agent-single-model,qwen3.8-27b,v1-multi-agent-single-model-qwen3.8-27b,ID003-xray.png,v1/multi-agent-single-model/qwen3.8-27b,upper_extremity,upper_extremity,True,False,True,False,,,"Findings most consistent with a non-displaced or subtly displaced mid-forearm diaphyseal fracture (acute vs healing not distinguishable on this single oblique view) in a pediatric patient, with a second superimposed limb (contralateral forearm) in the lower right; no other definite acute abnormality",,
v1,v1,single-agent,gemma4-26b,v1-single-agent-gemma4-26b,ID001-xray.png,v1/single-agent/gemma4-26b,lower_extremity,lower_extremity,True,False,,,,no acute fracture,No acute fracture or dislocation identified in the visualized ankle and foot.,,
v1,v1,single-agent,gemma4-26b,v1-single-agent-gemma4-26b,ID002-xray.png,v1/single-agent/gemma4-26b,upper_extremity,lower_extremity,False,False,,,,,Proximal radial fracture (radial head fracture).,,
v1,v1,single-agent,gemma4-26b,v1-single-agent-gemma4-26b,ID003-xray.png,v1/single-agent/gemma4-26b,upper_extremity,upper_extremity,True,False,True,False,,,Displaced mid-shaft radial fracture. Clinical correlation and orthopedic consultation are advised.,,
v1,v1,single-agent,qwen3.6-27b,v1-single-agent-qwen3.6-27b,ID001-xray.png,v1/single-agent/qwen3.6-27b,lower_extremity,lower_extremity,True,,,,,,No acute osseous abnormality identified on this lateral foot and ankle radiograph. Overall appearance is unremarkable.,,
v1,v1,single-agent,qwen3.6-27b,v1-single-agent-qwen3.6-27b,ID002-xray.png,v1/single-agent/qwen3.6-27b,upper_extremity,lower_extremity,False,False,,,,no fracture,"Normal lateral radiograph of the elbow and forearm with no acute osseous abnormality identified. No fracture, dislocation, or suspicious osseous lesion is seen in the visualized structures.",,
v1,v1,single-agent,qwen3.6-27b,v1-single-agent-qwen3.6-27b,ID003-xray.png,v1/single-agent/qwen3.6-27b,upper_extremity,upper_extremity,True,True,True,True,fracture of,,"Bilateral mid-shaft forearm fractures (both-bone forearm fracture) in a pediatric patient, involving a torus/buckle fracture of the ulna and a greenstick fracture of the radius. This injury pattern is classically associated with a fall on an outstretched hand in children.",,
v1,v1,single-agent,qwen3.8-27b,v1-single-agent-qwen3.8-27b,ID001-xray.png,v1/single-agent/qwen3.8-27b,lower_extremity,lower_extremity,True,False,,,,no fracture,"Lateral foot/ankle radiograph showing a small plantar calcaneal spur at the plantar fascia origin, consistent with calcaneal enthesopathy; no fracture or joint abnormality is identified. Mild low-arch tendency noted, but arch assessment is not standardized on this non-weight-bearing view. Differenti",,
v1,v1,single-agent,qwen3.8-27b,v1-single-agent-qwen3.8-27b,ID002-xray.png,v1/single-agent/qwen3.8-27b,upper_extremity,lower_extremity,False,False,,,,,No definite acute fracture or dislocation identified on this single lateral view of the elbow and forearm in a skeletally immature patient. The prominent pointed olecranon projection with adjacent fragment most likely represents a normal variant or olecranon ossification center in a growing skeleton,,
